date,trial,rep,morphology,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
0810,r180,1,With Tail,14.89,12.99,68.66,107.63,175.42,178.52,58.21,-93.09,-30.9,-32.33,71.09,363.19,-2.84,-2.84,8.52,8.54
0810,r180,2,With Tail,9.95,-359.56,87.53,162.74,177.19,-176.61,-40.7,-194.95,-8.35,-15.74,8.61,-142.38,1.65,1.65,-20.59,-21.12
0810,r180,3,With Tail,-316.04,-347.1,265.34,28.01,-178.41,-172.99,7.41,-59.54,3.82,-4.13,-235.8,292.76,-0.8,-0.8,-32.67,-33.28
0816,r180,1,With Tail,-19.1,-17.23,-15.5,138.95,177.5,178.28,-57.77,-57.77,-10.28,-11.94,-14.21,-74.82,-2.33,-2.33,39.51,39.49
0816,r180,2,With Tail,-15.62,-13.02,-38.74,31.8,174.08,177.17,-95.44,20.53,-12.19,-11.97,-69.58,282.36,-0.11,-0.11,34.56,177.0
0816,r180,3,With Tail,19.96,-334.7,374.76,327.33,179.91,-179.32,-30.47,-184.66,16.25,11.82,-272.54,-145.88,0.89,0.68,31.59,42.63
0810,r45,1,With Tail,-11.67,-3.05,-140.12,-206.8,41.93,48.12,5.18,43.83,-11.16,0.48,-2.99,293.01,1.47,1.47,2.11,2.2
0810,r45,2,With Tail,8.79,-0.07,88.46,-298.4,44.45,49.09,68.84,222.36,-4.2,0.11,24.34,118.77,1.08,0.93,31.65,227.11
0810,r45,3,With Tail,20.82,21.3,155.84,274.89,47.54,49.09,57.27,365.4,-23.49,-15.38,-299.06,-509.28,0.89,0.89,-3.14,270.51
0816,r45,1,With Tail,10.82,2.46,-215.24,-218.85,47.41,43.53,11.96,11.94,-4.18,0.6,-36.36,158.28,1.45,1.29,-20.8,-21.56
0816,r45,2,With Tail,-4.84,-8.56,-91.61,-294.97,45.93,46.71,3.02,-227.39,15.8,-7.48,47.75,-805.77,0.44,0.44,15.98,37.08
0816,r45,3,With Tail,-16.71,-21.45,61.06,-9.57,46.6,51.24,51.82,16.05,12.64,2.52,92.85,577.79,1.1,0.95,-10.08,-8.97
0810,r90,1,With Tail,-9.15,-9.1,-60.37,-42.92,90.2,94.85,47.6,-107.71,-11.09,-3.91,91.89,-315.47,-0.6,-0.6,30.73,33.26
0810,r90,2,With Tail,-21.8,-33.26,214.74,299.32,93.43,97.31,-7.83,-200.69,-20.85,-26.81,130.81,173.69,0.28,0.28,45.01,68.54
0810,r90,3,With Tail,-43.17,-55.65,179.96,-321.15,88.58,93.24,1.5,192.89,-18.01,-15.43,-326.93,38.15,-1.48,-1.48,49.93,188.72
0816,r90,1,With Tail,-36.28,-31.67,-8.62,-17.68,89.52,94.18,-50.63,218.81,31.7,12.73,13.85,371.05,1.51,1.51,23.93,211.08
0816,r90,2,With Tail,-8.15,-15.95,40.21,-263.2,88.95,95.14,-23.23,-254.43,-12.64,6.47,-63.61,462.1,0.09,0.09,7.67,7.45
0816,r180_p15,1,With Tail,352.3,357.61,-144.18,-93.47,179.45,179.45,-36.98,155.64,-25.84,-24.3,-140.77,-115.32,-14.26,-14.26,17.51,18.08
0816,r180_p15,2,With Tail,357.38,0.21,41.51,55.54,179.03,-177.88,-43.26,149.73,-16.37,4.35,-364.56,-12.13,-15.21,-15.21,-7.98,-7.98
0816,r180_p15,3,With Tail,-26.27,-28.86,15.17,-123.12,175.91,179.78,-66.06,-104.16,-3.27,3.88,-107.03,178.82,-10.53,-10.53,-30.78,219.86
0816,r180_p15,4,With Tail,356.57,361.8,-114.18,267.87,176.72,179.81,-38.53,-4.0,8.0,8.64,-245.8,-334.38,-15.5,-15.5,-22.64,-24.37
0816,r180_p15,5,With Tail,342.8,358.03,-65.14,35.13,177.94,177.16,-64.88,50.52,0.76,8.94,-447.83,53.63,-15.09,-15.09,-40.89,-40.61
0816,r180_p15,6,With Tail,4.9,375.79,129.02,-261.09,-179.43,176.7,-87.53,-164.81,1.57,0.31,92.69,29.74,-14.01,-13.79,68.95,69.79
0816,r180_p30,1,With Tail,364.96,11.25,17.7,3.71,179.37,-175.98,-14.9,-130.62,-9.41,-13.01,-57.25,367.23,-29.43,-29.21,66.4,66.66
0816,r180_p30,2,With Tail,365.7,25.17,78.74,-135.25,179.0,-176.34,-26.27,-57.65,-32.79,-34.58,170.75,316.98,-29.9,-30.12,-2.88,-3.34
0816,r180_p30,3,With Tail,710.67,354.27,-265.89,-114.14,175.79,178.11,-33.83,4.87,-8.07,-14.47,242.51,107.78,-31.09,-31.09,-3.88,-36.96
0816,r180_p30,4,With Tail,353.97,12.74,-220.62,477.29,179.91,-176.22,-33.74,-266.43,-2.56,-20.02,286.69,560.48,-28.64,-28.64,1.11,0.51
0816,r180_p30,5,With Tail,369.33,375.32,-251.78,-99.54,178.92,174.27,-26.4,204.96,0.19,7.35,-14.43,13.02,-27.87,-27.87,-69.44,-243.6
0816,r180_p30,6,With Tail,372.53,370.79,-0.13,-501.26,175.53,178.62,-32.62,353.1,-2.1,3.84,-0.08,-0.06,-27.46,-27.46,-48.69,-181.15
0817,r180_p45,1,With Tail,344.77,-4.4,-175.23,-159.28,179.97,-175.38,15.68,-16.18,2.76,-2.0,-438.23,-405.15,-42.47,-42.47,-18.83,-19.1
0817,r180_p45,2,With Tail,345.19,-8.87,-116.93,-222.92,179.63,-179.6,-44.27,187.28,-6.28,0.9,-54.07,43.15,-42.45,-42.45,-0.94,-0.75
0817,r180_p45,3,With Tail,-2.49,-22.96,504.33,-592.13,-172.37,-172.37,102.42,-129.04,7.24,18.64,131.87,384.18,-39.65,-39.65,-6.17,-345.41
0817,r180_p45,4,With Tail,339.0,-19.38,29.8,-88.65,179.17,-175.41,-23.09,-62.15,23.88,24.03,-105.78,13.5,-43.54,-43.54,-9.01,-9.09
0817,r180_p45,5,With Tail,351.21,-9.08,-31.08,9.65,178.07,-178.84,-26.03,282.37,9.43,-49.17,-203.2,-326.0,-45.61,-45.61,-20.8,-22.56
0817,r180_p45,6,With Tail,-11.37,-11.36,-68.35,-41.11,-179.7,-174.28,51.85,-102.38,-0.39,-2.58,-438.88,434.94,-42.96,-42.96,7.92,8.27
0816,r180,1,No Tail,54.99,33.99,-64.29,-28.82,175.06,178.93,-22.19,-127.28,48.54,-36.5,-25.73,5.35,0.6,0.81,73.94,74.0
0816,r180,2,No Tail,-25.1,-393.31,64.53,67.15,179.0,-178.68,-91.86,371.14,-18.7,2.23,-305.29,56.56,1.69,1.47,-34.51,-36.72
0817,r180,1,No Tail,-14.83,-380.85,-96.83,78.07,178.82,-179.63,34.01,226.7,-17.17,-6.17,451.32,-766.02,-0.83,-0.83,-8.81,-8.61
0817,r180,3,No Tail,44.3,21.16,-41.53,-22.67,175.75,178.84,-32.76,275.62,37.27,-33.52,22.06,365.56,-1.93,-1.93,-23.37,-13.97
0810,r45,1,No Tail,24.28,4.88,194.49,102.98,46.33,48.65,50.94,-26.35,-4.6,-22.13,-78.82,-142.4,0.83,0.83,-29.34,80.58
0810,r45,2,No Tail,38.89,41.17,-397.48,-592.5,45.06,46.61,51.37,-25.8,22.92,-33.25,162.59,-116.46,1.34,1.34,-15.13,17.8
0810,r45,3,No Tail,18.07,-26.5,-185.78,-172.94,43.54,48.19,15.72,-138.36,-5.53,-39.85,192.27,-711.49,1.24,1.24,-3.92,50.81
0816,r45,1,No Tail,31.08,44.74,543.87,-186.87,44.42,46.73,-141.28,-111.91,15.77,-47.27,-1.64,-83.23,1.48,1.32,20.87,22.59
0816,r45,2,No Tail,-3.83,-8.18,-46.92,-15.43,45.57,45.57,-8.97,-124.7,0.59,-10.25,32.81,416.87,1.53,1.53,15.4,15.21
0816,r45,3,No Tail,-21.36,-14.06,2.62,23.58,46.92,46.92,12.12,12.08,8.93,1.47,-129.41,150.46,0.67,0.67,8.89,41.95
0810,r90,1,No Tail,23.18,36.41,-8.52,22.79,94.12,100.32,-0.84,-424.79,-8.59,-23.75,-11.56,-116.46,-2.15,-2.15,-5.06,-4.05
0810,r90,2,No Tail,3.19,6.98,360.23,471.86,90.69,95.34,-30.5,-146.27,20.73,-11.91,-95.82,22.35,-0.31,-0.31,25.93,61.64
0810,r90,3,No Tail,31.52,-1.72,523.79,423.41,94.47,95.25,-48.9,-126.07,36.69,-29.23,-156.42,240.34,-0.19,-0.19,10.41,10.4
0816,r90,1,No Tail,-3.71,-5.76,142.09,41.18,88.93,92.03,-11.9,142.55,-12.73,-2.8,-59.0,-520.1,0.14,0.14,62.48,281.58
0816,r90,2,No Tail,27.11,13.49,-56.96,-1.76,89.88,92.2,-59.14,-444.83,14.78,1.39,-274.59,865.33,0.83,0.82,29.15,29.17
0816,r90,4,No Tail,5.81,-2.63,77.23,-51.46,85.92,89.79,-36.99,-152.89,-19.35,-37.55,312.74,277.73,1.85,1.84,51.75,51.9
0817,r180_p15,1,No Tail,337.97,-10.12,66.2,188.04,179.5,-175.07,-64.43,-218.99,17.1,-24.63,-85.62,492.45,-15.2,-15.2,-2.85,-200.24
0817,r180_p15,2,No Tail,347.22,-21.78,-0.13,-269.95,177.74,-177.61,2.43,79.76,26.3,19.72,-0.08,0.19,-16.55,-16.33,94.1,92.94
0817,r180_p15,3,No Tail,359.97,6.0,-109.0,19.68,177.79,-176.01,18.08,18.22,-5.01,-4.21,-129.99,-66.53,-15.92,-15.7,49.57,48.15
0817,r180_p15,4,No Tail,358.4,-4.38,0.01,0.02,179.67,-173.36,26.63,65.0,-11.16,-7.9,-0.04,0.13,-13.76,-13.54,63.41,62.0
0817,r180_p15,5,No Tail,347.24,-10.66,98.95,-130.75,178.95,-176.4,-73.15,119.42,-5.9,-10.8,-93.85,-130.82,-15.37,-15.15,9.55,7.33
0817,r180_p15,6,No Tail,354.67,-4.71,-237.21,-353.55,176.94,-179.19,0.03,-77.2,3.27,2.37,119.4,77.0,-15.99,-15.99,-0.04,-0.09
0817,r180_p30,1,No Tail,359.21,16.83,-101.18,447.31,178.13,-176.44,33.33,71.49,-2.42,-14.83,313.17,543.76,-30.57,-30.57,44.97,-0.21
0817,r180_p30,2,No Tail,350.72,-4.67,-214.63,-336.0,178.24,-175.56,-9.19,-9.27,3.98,-24.68,239.04,606.56,-30.12,-30.12,-17.35,-51.16
0817,r180_p30,3,No Tail,366.72,9.94,36.66,-202.56,178.88,-176.47,60.18,289.35,-11.05,-15.65,292.41,115.0,-31.63,-31.41,124.85,-77.95
0817,r180_p30,4,No Tail,2.3,3.8,-70.74,230.17,-178.6,-172.41,43.27,-72.51,3.92,4.09,75.01,17.75,-29.9,-29.68,58.08,57.26
0817,r180_p30,5,No Tail,351.66,-2.54,-368.2,-211.21,179.12,-174.68,24.97,-52.26,7.3,-23.61,395.51,211.44,-28.29,-28.29,-15.42,-15.53
0817,r180_p30,6,No Tail,361.42,377.76,-1.28,0.24,179.03,179.8,-26.26,-26.23,-19.68,-31.12,100.58,244.76,-28.47,-28.47,-22.93,-45.04
0817,r180_p45,1,No Tail,362.19,7.49,50.51,-18.25,177.75,-176.05,25.22,-51.76,-21.92,-25.62,55.42,162.42,-43.43,-43.43,-4.95,-4.9
0817,r180_p45,2,No Tail,344.79,347.57,5.84,15.3,177.91,-174.34,32.25,-199.42,-0.29,-61.03,-37.35,327.52,-44.61,-44.83,-29.61,-227.66
0817,r180_p45,3,No Tail,340.94,-15.26,24.31,-167.23,179.81,-173.22,14.51,284.4,-4.99,-2.15,-325.89,-13.73,-46.18,-46.18,-12.12,-24.79
0817,r180_p45,4,No Tail,-8.09,-0.26,-46.36,-28.47,-179.9,-172.93,8.85,122.35,2.23,-44.4,-91.19,339.26,-45.01,-45.01,-41.74,-292.51
0817,r180_p45,5,No Tail,328.48,-29.7,6.36,60.46,176.0,-178.58,2.99,2.83,23.56,-29.41,-41.05,-102.88,-41.66,-41.88,-47.9,-49.77
